Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1,
Horizontal Delay,0,
Sample Interval,0.001,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,1
Vertical Position,0,0
,,
,,
,,
Label,M2024,
TIME,CH1,CH2
-5.000000e+00,1.4,0
-4.999000e+00,1.4,0
-4.998000e+00,1.38,0
-4.997000e+00,1.38,0.04
-4.996000e+00,1.4,0
-4.995000e+00,1.4,0
-4.994000e+00,1.38,0
-4.993000e+00,1.4,0
-4.992000e+00,1.38,0
-4.991000e+00,1.4,0.04
-4.990000e+00,1.4,0
-4.989000e+00,1.38,-0.04
-4.988000e+00,1.36,0
-4.987000e+00,1.38,0
-4.986000e+00,1.4,0
-4.985000e+00,1.4,0
-4.984000e+00,1.4,0
-4.983000e+00,1.4,0
-4.982000e+00,1.42,0
-4.981000e+00,1.4,0
-4.980000e+00,1.4,0
-4.979000e+00,1.38,0
-4.978000e+00,1.4,0
-4.977000e+00,1.38,0.04
-4.976000e+00,1.4,0
-4.975000e+00,1.38,0
-4.974000e+00,1.4,0
-4.973000e+00,1.4,0
-4.972000e+00,1.4,0
-4.971000e+00,1.38,0
-4.970000e+00,1.4,0
-4.969000e+00,1.38,0
-4.968000e+00,1.4,0
-4.967000e+00,1.4,0
-4.966000e+00,1.38,0
-4.965000e+00,1.4,0.04
-4.964000e+00,1.38,0
-4.963000e+00,1.38,0
-4.962000e+00,1.38,0
-4.961000e+00,1.4,0
-4.960000e+00,1.4,0
-4.959000e+00,1.38,0
-4.958000e+00,1.38,0.04
-4.957000e+00,1.4,0
-4.956000e+00,1.38,0
-4.955000e+00,1.4,0
-4.954000e+00,1.38,0
-4.953000e+00,1.4,0
-4.952000e+00,1.38,0
-4.951000e+00,1.4,0.04
-4.950000e+00,1.4,0
-4.949000e+00,1.4,0
-4.948000e+00,1.38,0
-4.947000e+00,1.38,0
-4.946000e+00,1.38,0
-4.945000e+00,1.4,0
-4.944000e+00,1.38,0
-4.943000e+00,1.4,0
-4.942000e+00,1.38,0
-4.941000e+00,1.4,0
-4.940000e+00,1.38,0
-4.939000e+00,1.4,0
-4.938000e+00,1.36,0
-4.937000e+00,1.4,0
-4.936000e+00,1.38,0
-4.935000e+00,1.38,0
-4.934000e+00,1.38,0
-4.933000e+00,1.4,0.04
-4.932000e+00,1.4,0.04
-4.931000e+00,1.38,0.04
-4.930000e+00,1.38,0
-4.929000e+00,1.4,0
-4.928000e+00,1.4,0
-4.927000e+00,1.4,0
-4.926000e+00,1.4,0
-4.925000e+00,1.4,0.04
-4.924000e+00,1.4,0
-4.923000e+00,1.38,0
-4.922000e+00,1.4,0
-4.921000e+00,1.4,0
-4.920000e+00,1.4,0
-4.919000e+00,1.4,0
-4.918000e+00,1.4,0.04
-4.917000e+00,1.38,-0.04
-4.916000e+00,1.38,0
-4.915000e+00,1.38,0.04
-4.914000e+00,1.38,0
-4.913000e+00,1.38,0
-4.912000e+00,1.4,0
-4.911000e+00,1.4,0
-4.910000e+00,1.4,0
-4.909000e+00,1.38,0
