Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,8e-07,,
Horizontal Delay,0,,
Sample Interval,8e-10,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,0,0
,,,
,,,
,,,
Label,,M2029,M2030
TIME,CH1,CH3,CH4
-4.000000e-06,1.39391,1.46625,-0.0209375
-3.999200e-06,1.39328,1.46687,-0.0203125
-3.998400e-06,1.39359,1.46766,-0.0203125
-3.997600e-06,1.39437,1.46547,-0.0196875
-3.996800e-06,1.39484,1.46516,-0.0223437
-3.996000e-06,1.39672,1.46594,-0.0195312
-3.995200e-06,1.39719,1.46359,-0.0203125
-3.994400e-06,1.39531,1.46797,-0.0210938
-3.993600e-06,1.39281,1.46969,-0.0204688
-3.992800e-06,1.39312,1.46687,-0.0217188
-3.992000e-06,1.3975,1.46687,-0.0204688
-3.991200e-06,1.39469,1.46875,-0.0173438
-3.990400e-06,1.39625,1.46422,-0.019375
-3.989600e-06,1.39437,1.46266,-0.0215625
-3.988800e-06,1.39437,1.46719,-0.02125
-3.988000e-06,1.39375,1.46703,-0.019375
-3.987200e-06,1.39453,1.46781,-0.0215625
-3.986400e-06,1.39484,1.46859,-0.0198438
-3.985600e-06,1.395,1.46609,-0.0204688
-3.984800e-06,1.39797,1.46875,-0.01875
-3.984000e-06,1.39297,1.46891,-0.021875
-3.983200e-06,1.39328,1.46547,-0.0207813
-3.982400e-06,1.39531,1.46687,-0.019375
-3.981600e-06,1.38984,1.46578,-0.0210938
-3.980800e-06,1.39391,1.46531,-0.0196875
-3.980000e-06,1.39328,1.46703,-0.0178125
-3.979200e-06,1.39391,1.46547,-0.0234375
-3.978400e-06,1.39578,1.46672,-0.0209375
-3.977600e-06,1.39484,1.46625,-0.0210938
-3.976800e-06,1.39406,1.46609,-0.0195312
-3.976000e-06,1.39703,1.46766,-0.018125
-3.975200e-06,1.39703,1.46703,-0.0192187
-3.974400e-06,1.39359,1.46672,-0.0217188
-3.973600e-06,1.39469,1.46781,-0.019375
-3.972800e-06,1.39359,1.46656,-0.0185937
-3.972000e-06,1.39359,1.46672,-0.0203125
-3.971200e-06,1.39578,1.46266,-0.0215625
-3.970400e-06,1.39422,1.46641,-0.0198438
-3.969600e-06,1.3925,1.46578,-0.0198438
-3.968800e-06,1.39094,1.46484,-0.020625
-3.968000e-06,1.39406,1.46719,-0.0203125
-3.967200e-06,1.39547,1.46516,-0.0232812
-3.966400e-06,1.39656,1.46437,-0.020625
-3.965600e-06,1.39297,1.46828,-0.0167188
-3.964800e-06,1.39547,1.46734,-0.0192187
-3.964000e-06,1.39375,1.465,-0.0217188
-3.963200e-06,1.39281,1.46625,-0.021875
-3.962400e-06,1.39656,1.46781,-0.0217188
-3.961600e-06,1.39469,1.46828,-0.0228125
-3.960800e-06,1.39328,1.46922,-0.0226562
-3.960000e-06,1.39625,1.46359,-0.02125
-3.959200e-06,1.39406,1.46828,-0.0190625
-3.958400e-06,1.39219,1.46828,-0.0195312
