Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,8e-07,,
Horizontal Delay,0,,
Sample Interval,8e-10,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,-0.02,0
,,,
,,,
,,,
Label,M2024,M2029,M2030
TIME,CH1,CH3,CH4
-4.000000e-06,1.36813,1.43297,-0.0582812
-3.999200e-06,1.365,1.43688,-0.056875
-3.998400e-06,1.36531,1.43375,-0.0585938
-3.997600e-06,1.36766,1.43641,-0.059375
-3.996800e-06,1.36719,1.43469,-0.0590625
-3.996000e-06,1.36406,1.43031,-0.0578125
-3.995200e-06,1.36484,1.43781,-0.059375
-3.994400e-06,1.3625,1.43344,-0.0590625
-3.993600e-06,1.36547,1.43484,-0.0596875
-3.992800e-06,1.36234,1.4375,-0.0585938
-3.992000e-06,1.36344,1.43437,-0.0596875
-3.991200e-06,1.36344,1.43312,-0.059375
-3.990400e-06,1.37219,1.4375,-0.0592188
-3.989600e-06,1.36766,1.43312,-0.0575
-3.988800e-06,1.36281,1.43359,-0.0573437
-3.988000e-06,1.36312,1.43344,-0.0592188
-3.987200e-06,1.36641,1.43312,-0.0592188
-3.986400e-06,1.36609,1.43516,-0.0573437
-3.985600e-06,1.36922,1.43688,-0.0589063
-3.984800e-06,1.36734,1.43453,-0.0578125
-3.984000e-06,1.36656,1.43422,-0.0571875
-3.983200e-06,1.36719,1.43672,-0.0596875
-3.982400e-06,1.36719,1.43219,-0.0590625
-3.981600e-06,1.36656,1.43563,-0.0589063
-3.980800e-06,1.36359,1.43437,-0.0592188
-3.980000e-06,1.36656,1.43563,-0.0589063
-3.979200e-06,1.36969,1.43891,-0.0551563
-3.978400e-06,1.3625,1.43422,-0.05875
-3.977600e-06,1.36422,1.43469,-0.059375
-3.976800e-06,1.36547,1.43359,-0.0584375
-3.976000e-06,1.37031,1.43766,-0.0585938
-3.975200e-06,1.36875,1.435,-0.0585938
-3.974400e-06,1.36656,1.43297,-0.0579687
-3.973600e-06,1.36359,1.43734,-0.0567187
-3.972800e-06,1.36453,1.43672,-0.0584375
-3.972000e-06,1.36953,1.43594,-0.059375
-3.971200e-06,1.36594,1.43594,-0.0595313
-3.970400e-06,1.36297,1.43094,-0.05875
-3.969600e-06,1.36563,1.43641,-0.0590625
-3.968800e-06,1.36234,1.43094,-0.0585938
-3.968000e-06,1.36453,1.43578,-0.0598438
-3.967200e-06,1.36594,1.43578,-0.0585938
-3.966400e-06,1.36297,1.43484,-0.05875
-3.965600e-06,1.36516,1.43656,-0.06
-3.964800e-06,1.37109,1.43922,-0.0590625
-3.964000e-06,1.36781,1.43344,-0.0575
-3.963200e-06,1.36187,1.43281,-0.0578125
-3.962400e-06,1.36406,1.43391,-0.0596875
-3.961600e-06,1.36594,1.43328,-0.059375
-3.960800e-06,1.36688,1.43641,-0.0584375
-3.960000e-06,1.36938,1.43609,-0.058125
-3.959200e-06,1.36703,1.435,-0.0584375
-3.958400e-06,1.36438,1.43516,-0.0559375
