Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.002,,,
Horizontal Delay,0,,,
Sample Interval,2e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,10,1,10,1
Vertical Units,V,V,V,V
Vertical Offset,0,-30.8,0,0
Vertical Scale,1,10,1,1
Vertical Position,0,0,0.02,-0.1
,,,,
,,,,
,,,,
Label,,,,M
TIME,CH1,CH2,CH3,CH4
-1.000000e-02,0.808281,17.8281,1.39469,4.11391
-9.998000e-03,0.805,17.7734,1.40078,4.10719
-9.996000e-03,0.804844,17.8078,1.39516,4.09672
-9.994000e-03,0.81375,17.8516,1.3975,4.10625
-9.992000e-03,0.801875,17.7844,1.39891,4.10469
-9.990000e-03,0.807813,17.7656,1.39094,4.10094
-9.988000e-03,0.799531,17.7828,1.39906,4.10781
-9.986000e-03,0.804688,17.7906,1.40109,4.10516
-9.984000e-03,0.802813,17.7594,1.39578,4.11313
-9.982000e-03,0.797969,17.7063,1.39625,4.10328
-9.980000e-03,0.799844,17.7109,1.39594,4.10484
-9.978000e-03,0.8025,17.7922,1.39969,4.10641
-9.976000e-03,0.794375,17.7172,1.3975,4.10531
-9.974000e-03,0.802031,17.7281,1.39734,4.10938
-9.972000e-03,0.795625,17.7078,1.39984,4.10969
-9.970000e-03,0.7975,17.6734,1.39422,4.11516
-9.968000e-03,0.7975,17.7484,1.40547,4.10266
-9.966000e-03,0.795312,17.7953,1.39703,4.10125
-9.964000e-03,0.791563,17.6781,1.39062,4.10859
-9.962000e-03,0.797344,17.7109,1.39813,4.10969
-9.960000e-03,0.792344,17.75,1.39594,4.11281
-9.958000e-03,0.795312,17.7641,1.39453,4.10656
-9.956000e-03,0.792813,17.8141,1.39656,4.10984
-9.954000e-03,0.804531,17.7094,1.40312,4.10969
-9.952000e-03,0.796406,17.7438,1.39469,4.11016
-9.950000e-03,0.794375,17.7344,1.39859,4.11422
-9.948000e-03,0.795625,17.7344,1.39891,4.10484
-9.946000e-03,0.790156,17.7391,1.38875,4.10156
-9.944000e-03,0.789219,17.7391,1.39906,4.11094
-9.942000e-03,0.797031,17.7422,1.39969,4.11078
-9.940000e-03,0.791406,17.725,1.40109,4.10922
-9.938000e-03,0.793594,17.8047,1.38406,4.10953
-9.936000e-03,0.800156,17.7859,1.39531,4.11203
-9.934000e-03,0.792031,17.7438,1.39375,4.10266
-9.932000e-03,0.784219,17.7156,1.39375,4.10594
-9.930000e-03,0.800469,17.7391,1.39391,4.11625
-9.928000e-03,0.784375,17.8219,1.39328,4.11094
-9.926000e-03,0.79,17.8172,1.40063,4.10687
-9.924000e-03,0.789844,17.7609,1.39344,4.09922
-9.922000e-03,0.787656,17.7125,1.39969,4.10656
-9.920000e-03,0.796563,17.6969,1.39406,4.10156
-9.918000e-03,0.787969,17.7625,1.40359,4.10234
-9.916000e-03,0.788906,17.6422,1.38938,4.11375
-9.914000e-03,0.780781,17.7797,1.39703,4.09828
-9.912000e-03,0.785781,17.7906,1.40391,4.105
-9.910000e-03,0.79125,17.7563,1.40437,4.10672
