Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,8e-07,
Horizontal Delay,0,
Sample Interval,8e-10,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Vertical Position,0,0
,,
,,
,,
Label,M2024,M2030
TIME,CH1,CH4
-4.000000e-06,1.44,-0.08
-3.999200e-06,1.48,-0.04
-3.998400e-06,1.4,-0.04
-3.997600e-06,1.44,-0.04
-3.996800e-06,1.44,-0.04
-3.996000e-06,1.44,0
-3.995200e-06,1.44,-0.04
-3.994400e-06,1.44,-0.04
-3.993600e-06,1.48,0
-3.992800e-06,1.48,-0.04
-3.992000e-06,1.44,-0.04
-3.991200e-06,1.44,-0.04
-3.990400e-06,1.44,-0.08
-3.989600e-06,1.44,0
-3.988800e-06,1.44,-0.04
-3.988000e-06,1.44,-0.04
-3.987200e-06,1.44,-0.04
-3.986400e-06,1.44,-0.04
-3.985600e-06,1.44,-0.04
-3.984800e-06,1.44,-0.04
-3.984000e-06,1.44,-0.04
-3.983200e-06,1.4,-0.04
-3.982400e-06,1.44,-0.04
-3.981600e-06,1.44,0
-3.980800e-06,1.44,0
-3.980000e-06,1.48,-0.04
-3.979200e-06,1.44,-0.04
-3.978400e-06,1.4,-0.04
-3.977600e-06,1.44,-0.04
-3.976800e-06,1.44,-0.04
-3.976000e-06,1.44,-0.04
-3.975200e-06,1.44,-0.04
-3.974400e-06,1.4,-0.04
-3.973600e-06,1.44,-0.04
-3.972800e-06,1.44,-0.04
-3.972000e-06,1.48,0
-3.971200e-06,1.44,-0.04
-3.970400e-06,1.4,-0.04
-3.969600e-06,1.44,-0.04
-3.968800e-06,1.4,-0.04
-3.968000e-06,1.44,-0.04
-3.967200e-06,1.44,-0.04
-3.966400e-06,1.44,-0.04
-3.965600e-06,1.4,0
-3.964800e-06,1.44,-0.04
-3.964000e-06,1.44,0
-3.963200e-06,1.44,-0.04
-3.962400e-06,1.48,-0.04
-3.961600e-06,1.4,-0.04
-3.960800e-06,1.4,0
-3.960000e-06,1.44,-0.04
-3.959200e-06,1.4,-0.04
-3.958400e-06,1.44,-0.04
-3.957600e-06,1.44,-0.04
-3.956800e-06,1.44,-0.04
-3.956000e-06,1.4,-0.04
-3.955200e-06,1.44,-0.04
-3.954400e-06,1.4,-0.04
-3.953600e-06,1.44,-0.04
-3.952800e-06,1.44,-0.04
-3.952000e-06,1.44,0
-3.951200e-06,1.48,0
-3.950400e-06,1.44,0
-3.949600e-06,1.48,-0.04
-3.948800e-06,1.44,-0.04
-3.948000e-06,1.44,-0.04
-3.947200e-06,1.44,0
-3.946400e-06,1.44,-0.04
-3.945600e-06,1.44,-0.04
-3.944800e-06,1.4,-0.04
-3.944000e-06,1.4,-0.08
-3.943200e-06,1.4,-0.04
-3.942400e-06,1.4,0
-3.941600e-06,1.44,-0.04
-3.940800e-06,1.44,0
-3.940000e-06,1.4,-0.04
-3.939200e-06,1.44,-0.04
-3.938400e-06,1.4,0
-3.937600e-06,1.44,-0.04
-3.936800e-06,1.44,-0.04
-3.936000e-06,1.44,0
