Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4e-06,,
Horizontal Delay,0,,
Sample Interval,4e-09,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,-0.02,0
,,,
,,,
,,,
Label,M2024,M2029,M2030
TIME,CH1,CH3,CH4
-2.000000e-05,1.34781,1.44437,-0.056875
-1.999600e-05,1.34688,1.44469,-0.0551563
-1.999200e-05,1.34969,1.44516,-0.0578125
-1.998800e-05,1.3475,1.44578,-0.05375
-1.998400e-05,1.34828,1.44266,-0.058125
-1.998000e-05,1.35203,1.44625,-0.0564062
-1.997600e-05,1.34937,1.44297,-0.058125
-1.997200e-05,1.34937,1.44422,-0.0565625
-1.996800e-05,1.34578,1.44016,-0.0592188
-1.996400e-05,1.34953,1.44516,-0.0554688
-1.996000e-05,1.3475,1.44391,-0.058125
-1.995600e-05,1.35109,1.44344,-0.0571875
-1.995200e-05,1.35203,1.44484,-0.0571875
-1.994800e-05,1.34969,1.44547,-0.0553125
-1.994400e-05,1.34672,1.44484,-0.0564062
-1.994000e-05,1.35062,1.44422,-0.0589063
-1.993600e-05,1.35047,1.44172,-0.0582812
-1.993200e-05,1.34922,1.44437,-0.056875
-1.992800e-05,1.34781,1.44219,-0.0584375
-1.992400e-05,1.35094,1.44531,-0.0545313
-1.992000e-05,1.35469,1.44625,-0.0535938
-1.991600e-05,1.34406,1.44266,-0.0576562
-1.991200e-05,1.34875,1.44266,-0.0579687
-1.990800e-05,1.35141,1.44531,-0.0560937
-1.990400e-05,1.34609,1.44188,-0.0584375
-1.990000e-05,1.34672,1.44344,-0.0567187
-1.989600e-05,1.35141,1.44734,-0.054375
-1.989200e-05,1.34594,1.44391,-0.0570312
-1.988800e-05,1.34703,1.44359,-0.0590625
-1.988400e-05,1.34859,1.44297,-0.0546875
-1.988000e-05,1.35156,1.44266,-0.0579687
-1.987600e-05,1.34984,1.44281,-0.0575
-1.987200e-05,1.34609,1.44344,-0.056875
-1.986800e-05,1.34813,1.44656,-0.055
-1.986400e-05,1.35016,1.44297,-0.0575
-1.986000e-05,1.35,1.44422,-0.05375
-1.985600e-05,1.34844,1.44188,-0.059375
-1.985200e-05,1.35359,1.44672,-0.0539063
-1.984800e-05,1.35,1.44391,-0.0576562
-1.984400e-05,1.35,1.44453,-0.0559375
-1.984000e-05,1.34656,1.44125,-0.0592188
-1.983600e-05,1.35109,1.445,-0.0545313
-1.983200e-05,1.34797,1.44234,-0.0578125
-1.982800e-05,1.35172,1.44219,-0.0560937
-1.982400e-05,1.35062,1.44297,-0.0576562
-1.982000e-05,1.35016,1.44422,-0.0553125
-1.981600e-05,1.34656,1.44453,-0.0564062
-1.981200e-05,1.34984,1.44172,-0.0565625
-1.980800e-05,1.3475,1.44219,-0.0579687
-1.980400e-05,1.34922,1.44516,-0.0559375
-1.980000e-05,1.34937,1.44312,-0.0575
-1.979600e-05,1.34953,1.445,-0.0546875
-1.979200e-05,1.35391,1.44516,-0.0548438
