Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.4
Horizontal Delay,0
Sample Interval,0.0004
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,0
,
,
,
Label,M2024
TIME,CH1
-2.000000e+00,1.4
-1.999600e+00,1.32
-1.999200e+00,1.32
-1.998800e+00,1.36
-1.998400e+00,1.36
-1.998000e+00,1.36
-1.997600e+00,1.36
-1.997200e+00,1.36
-1.996800e+00,1.32
-1.996400e+00,1.36
-1.996000e+00,1.32
-1.995600e+00,1.36
-1.995200e+00,1.36
-1.994800e+00,1.4
-1.994400e+00,1.32
-1.994000e+00,1.36
-1.993600e+00,1.36
-1.993200e+00,1.36
-1.992800e+00,1.36
-1.992400e+00,1.36
-1.992000e+00,1.36
-1.991600e+00,1.36
-1.991200e+00,1.36
-1.990800e+00,1.32
-1.990400e+00,1.36
-1.990000e+00,1.36
-1.989600e+00,1.32
-1.989200e+00,1.36
-1.988800e+00,1.36
-1.988400e+00,1.36
-1.988000e+00,1.36
-1.987600e+00,1.32
-1.987200e+00,1.36
-1.986800e+00,1.36
-1.986400e+00,1.4
-1.986000e+00,1.36
-1.985600e+00,1.4
-1.985200e+00,1.36
-1.984800e+00,1.36
-1.984400e+00,1.32
-1.984000e+00,1.36
-1.983600e+00,1.36
-1.983200e+00,1.4
-1.982800e+00,1.4
-1.982400e+00,1.36
-1.982000e+00,1.36
-1.981600e+00,1.36
-1.981200e+00,1.36
-1.980800e+00,1.4
-1.980400e+00,1.36
-1.980000e+00,1.32
-1.979600e+00,1.36
-1.979200e+00,1.36
-1.978800e+00,1.4
-1.978400e+00,1.32
-1.978000e+00,1.36
-1.977600e+00,1.36
-1.977200e+00,1.36
-1.976800e+00,1.36
-1.976400e+00,1.36
-1.976000e+00,1.36
-1.975600e+00,1.4
-1.975200e+00,1.36
-1.974800e+00,1.36
-1.974400e+00,1.36
-1.974000e+00,1.36
-1.973600e+00,1.36
-1.973200e+00,1.36
-1.972800e+00,1.4
-1.972400e+00,1.36
-1.972000e+00,1.36
-1.971600e+00,1.36
-1.971200e+00,1.4
-1.970800e+00,1.36
-1.970400e+00,1.36
-1.970000e+00,1.36
-1.969600e+00,1.36
-1.969200e+00,1.36
-1.968800e+00,1.36
-1.968400e+00,1.36
-1.968000e+00,1.36
-1.967600e+00,1.36
-1.967200e+00,1.36
-1.966800e+00,1.4
-1.966400e+00,1.4
-1.966000e+00,1.32
-1.965600e+00,1.36
-1.965200e+00,1.32
-1.964800e+00,1.36
-1.964400e+00,1.36
-1.964000e+00,1.4
-1.963600e+00,1.36
-1.963200e+00,1.36
-1.962800e+00,1.4
-1.962400e+00,1.36
-1.962000e+00,1.36
-1.961600e+00,1.36
-1.961200e+00,1.36
-1.960800e+00,1.36
-1.960400e+00,1.4
-1.960000e+00,1.32
-1.959600e+00,1.4
-1.959200e+00,1.36
-1.958800e+00,1.36
-1.958400e+00,1.4
-1.958000e+00,1.4
-1.957600e+00,1.36
-1.957200e+00,1.4
-1.956800e+00,1.36
-1.956400e+00,1.36
-1.956000e+00,1.36
-1.955600e+00,1.32
-1.955200e+00,1.4
-1.954800e+00,1.4
-1.954400e+00,1.32
-1.954000e+00,1.32
-1.953600e+00,1.36
-1.953200e+00,1.36
-1.952800e+00,1.4
-1.952400e+00,1.32
-1.952000e+00,1.36
-1.951600e+00,1.36
-1.951200e+00,1.4
-1.950800e+00,1.32
-1.950400e+00,1.36
-1.950000e+00,1.36
-1.949600e+00,1.36
-1.949200e+00,1.36
-1.948800e+00,1.36
-1.948400e+00,1.36
-1.948000e+00,1.36
-1.947600e+00,1.36
-1.947200e+00,1.36
-1.946800e+00,1.36
-1.946400e+00,1.36
-1.946000e+00,1.36
-1.945600e+00,1.4
-1.945200e+00,1.36
-1.944800e+00,1.36
-1.944400e+00,1.36
-1.944000e+00,1.32
-1.943600e+00,1.36
-1.943200e+00,1.36
-1.942800e+00,1.36
-1.942400e+00,1.32
-1.942000e+00,1.36
-1.941600e+00,1.36
-1.941200e+00,1.36
-1.940800e+00,1.36
-1.940400e+00,1.32
-1.940000e+00,1.4
-1.939600e+00,1.36
-1.939200e+00,1.36
-1.938800e+00,1.36
-1.938400e+00,1.36
-1.938000e+00,1.32
-1.937600e+00,1.36
-1.937200e+00,1.32
-1.936800e+00,1.36
-1.936400e+00,1.36
-1.936000e+00,1.36
-1.935600e+00,1.4
-1.935200e+00,1.36
-1.934800e+00,1.36
-1.934400e+00,1.36
-1.934000e+00,1.36
-1.933600e+00,1.36
-1.933200e+00,1.4
-1.932800e+00,1.36
-1.932400e+00,1.4
-1.932000e+00,1.4
-1.931600e+00,1.36
-1.931200e+00,1.36
-1.930800e+00,1.36
-1.930400e+00,1.36
-1.930000e+00,1.4
-1.929600e+00,1.36
-1.929200e+00,1.4
-1.928800e+00,1.32
-1.928400e+00,1.32
-1.928000e+00,1.36
-1.927600e+00,1.36
-1.927200e+00,1.36
-1.926800e+00,1.36
-1.926400e+00,1.36
-1.926000e+00,1.32
-1.925600e+00,1.4
-1.925200e+00,1.36
-1.924800e+00,1.36
-1.924400e+00,1.36
-1.924000e+00,1.4
-1.923600e+00,1.36
-1.923200e+00,1.36
-1.922800e+00,1.4
-1.922400e+00,1.4
-1.922000e+00,1.4
-1.921600e+00,1.4
-1.921200e+00,1.36
-1.920800e+00,1.36
-1.920400e+00,1.36
-1.920000e+00,1.36
-1.919600e+00,1.36
-1.919200e+00,1.36
-1.918800e+00,1.36
-1.918400e+00,1.4
-1.918000e+00,1.36
-1.917600e+00,1.4
-1.917200e+00,1.36
-1.916800e+00,1.4
-1.916400e+00,1.36
-1.916000e+00,1.36
-1.915600e+00,1.4
-1.915200e+00,1.36
-1.914800e+00,1.4
-1.914400e+00,1.36
-1.914000e+00,1.36
-1.913600e+00,1.4
-1.913200e+00,1.36
-1.912800e+00,1.36
-1.912400e+00,1.4
-1.912000e+00,1.32
-1.911600e+00,1.36
-1.911200e+00,1.36
-1.910800e+00,1.36
-1.910400e+00,1.36
-1.910000e+00,1.36
-1.909600e+00,1.36
-1.909200e+00,1.4
-1.908800e+00,1.36
-1.908400e+00,1.36
-1.908000e+00,1.36
-1.907600e+00,1.36
-1.907200e+00,1.36
-1.906800e+00,1.36
-1.906400e+00,1.36
-1.906000e+00,1.4
-1.905600e+00,1.36
-1.905200e+00,1.36
-1.904800e+00,1.4
-1.904400e+00,1.36
-1.904000e+00,1.36
-1.903600e+00,1.36
-1.903200e+00,1.36
-1.902800e+00,1.36
-1.902400e+00,1.36
-1.902000e+00,1.32
-1.901600e+00,1.36
-1.901200e+00,1.4
-1.900800e+00,1.4
-1.900400e+00,1.36
-1.900000e+00,1.36
-1.899600e+00,1.36
-1.899200e+00,1.36
-1.898800e+00,1.36
-1.898400e+00,1.36
-1.898000e+00,1.4
-1.897600e+00,1.36
-1.897200e+00,1.4
-1.896800e+00,1.36
-1.896400e+00,1.36
-1.896000e+00,1.36
-1.895600e+00,1.36
-1.895200e+00,1.36
-1.894800e+00,1.36
-1.894400e+00,1.36
-1.894000e+00,1.4
-1.893600e+00,1.36
-1.893200e+00,1.36
-1.892800e+00,1.32
-1.892400e+00,1.36
-1.892000e+00,1.36
-1.891600e+00,1.36
-1.891200e+00,1.36
-1.890800e+00,1.4
-1.890400e+00,1.36
-1.890000e+00,1.36
-1.889600e+00,1.36
-1.889200e+00,1.36
-1.888800e+00,1.36
-1.888400e+00,1.36
-1.888000e+00,1.36
-1.887600e+00,1.36
-1.887200e+00,1.36
-1.886800e+00,1.4
-1.886400e+00,1.4
-1.886000e+00,1.36
-1.885600e+00,1.36
-1.885200e+00,1.4
-1.884800e+00,1.36
-1.884400e+00,1.36
-1.884000e+00,1.32
-1.883600e+00,1.4
-1.883200e+00,1.36
-1.882800e+00,1.36
-1.882400e+00,1.4
-1.882000e+00,1.36
-1.881600e+00,1.36
-1.881200e+00,1.32
-1.880800e+00,1.36
-1.880400e+00,1.36
-1.880000e+00,1.4
-1.879600e+00,1.4
-1.879200e+00,1.32
-1.878800e+00,1.36
-1.878400e+00,1.36
-1.878000e+00,1.4
-1.877600e+00,1.32
-1.877200e+00,1.4
-1.876800e+00,1.36
-1.876400e+00,1.36
-1.876000e+00,1.4
-1.875600e+00,1.4
-1.875200e+00,1.4
-1.874800e+00,1.36
-1.874400e+00,1.36
-1.874000e+00,1.36
-1.873600e+00,1.4
-1.873200e+00,1.36
-1.872800e+00,1.4
-1.872400e+00,1.36
-1.872000e+00,1.36
-1.871600e+00,1.36
-1.871200e+00,1.36
-1.870800e+00,1.36
-1.870400e+00,1.36
-1.870000e+00,1.36
-1.869600e+00,1.36
-1.869200e+00,1.36
-1.868800e+00,1.4
-1.868400e+00,1.4
-1.868000e+00,1.36
-1.867600e+00,1.36
-1.867200e+00,1.36
-1.866800e+00,1.36
-1.866400e+00,1.36
-1.866000e+00,1.36
-1.865600e+00,1.32
-1.865200e+00,1.36
-1.864800e+00,1.4
-1.864400e+00,1.36
-1.864000e+00,1.36
-1.863600e+00,1.4
-1.863200e+00,1.36
-1.862800e+00,1.32
-1.862400e+00,1.36
-1.862000e+00,1.4
-1.861600e+00,1.24
-1.861200e+00,1.24
-1.860800e+00,1.24
-1.860400e+00,1.2
-1.860000e+00,1.28
-1.859600e+00,1.28
-1.859200e+00,1.2
-1.858800e+00,1.2
-1.858400e+00,1.24
-1.858000e+00,1.32
-1.857600e+00,1.16
-1.857200e+00,1.2
-1.856800e+00,1.2
-1.856400e+00,1.24
-1.856000e+00,1.36
-1.855600e+00,1.4
-1.855200e+00,1.8
-1.854800e+00,1.56
-1.854400e+00,1.48
-1.854000e+00,1.4
-1.853600e+00,1.4
-1.853200e+00,1.28
-1.852800e+00,1.24
-1.852400e+00,1.24
-1.852000e+00,1.2
-1.851600e+00,1.24
-1.851200e+00,1.16
-1.850800e+00,1.16
-1.850400e+00,1.04
-1.850000e+00,1.12
-1.849600e+00,1
-1.849200e+00,0.96
-1.848800e+00,1.04
-1.848400e+00,1.04
-1.848000e+00,0.92
-1.847600e+00,0.96
-1.847200e+00,1.16
-1.846800e+00,1.28
-1.846400e+00,1.12
-1.846000e+00,1.04
-1.845600e+00,1.04
-1.845200e+00,1.04
-1.844800e+00,0.96
-1.844400e+00,1
-1.844000e+00,1
-1.843600e+00,0.96
-1.843200e+00,1.04
-1.842800e+00,1
-1.842400e+00,0.92
-1.842000e+00,1.04
-1.841600e+00,1.08
-1.841200e+00,0.88
-1.840800e+00,0.92
-1.840400e+00,0.92
-1.840000e+00,0.96
-1.839600e+00,0.96
-1.839200e+00,1.16
-1.838800e+00,1.48
-1.838400e+00,1.32
-1.838000e+00,0.96
-1.837600e+00,1.08
-1.837200e+00,1.16
-1.836800e+00,1.08
-1.836400e+00,1.04
-1.836000e+00,1
-1.835600e+00,0.96
-1.835200e+00,0.96
-1.834800e+00,0.96
-1.834400e+00,0.88
-1.834000e+00,0.92
-1.833600e+00,0.76
-1.833200e+00,0.6
-1.832800e+00,0.64
-1.832400e+00,0.72
-1.832000e+00,0.76
-1.831600e+00,0.8
-1.831200e+00,0.76
-1.830800e+00,0.72
-1.830400e+00,0.96
-1.830000e+00,0.56
-1.829600e+00,0.88
-1.829200e+00,0.8
-1.828800e+00,0.76
-1.828400e+00,0.76
-1.828000e+00,0.8
-1.827600e+00,0.76
-1.827200e+00,0.76
-1.826800e+00,0.76
-1.826400e+00,0.76
-1.826000e+00,0.72
-1.825600e+00,0.72
-1.825200e+00,0.8
-1.824800e+00,0.68
-1.824400e+00,0.6
-1.824000e+00,0.76
-1.823600e+00,0.68
-1.823200e+00,0.72
-1.822800e+00,0.76
-1.822400e+00,0.84
-1.822000e+00,1.24
-1.821600e+00,0.96
-1.821200e+00,0.92
-1.820800e+00,0.84
-1.820400e+00,0.92
-1.820000e+00,0.76
-1.819600e+00,0.76
-1.819200e+00,0.76
-1.818800e+00,0.72
-1.818400e+00,0.72
-1.818000e+00,0.72
-1.817600e+00,0.6
-1.817200e+00,0.72
-1.816800e+00,0.6
-1.816400e+00,0.48
-1.816000e+00,0.44
-1.815600e+00,0.48
-1.815200e+00,0.52
-1.814800e+00,0.52
-1.814400e+00,0.52
-1.814000e+00,0.48
-1.813600e+00,0.68
-1.813200e+00,0.44
-1.812800e+00,0.52
-1.812400e+00,0.52
-1.812000e+00,0.56
-1.811600e+00,0.48
-1.811200e+00,0.52
-1.810800e+00,0.52
-1.810400e+00,0.56
-1.810000e+00,0.48
-1.809600e+00,0.48
-1.809200e+00,0.44
-1.808800e+00,0.48
-1.808400e+00,0.44
-1.808000e+00,0.44
-1.807600e+00,0.48
-1.807200e+00,0.48
-1.806800e+00,0.48
-1.806400e+00,0.48
-1.806000e+00,0.56
-1.805600e+00,0.92
-1.805200e+00,0.92
-1.804800e+00,0.88
-1.804400e+00,0.68
-1.804000e+00,0.64
-1.803600e+00,0.6
-1.803200e+00,0.56
-1.802800e+00,0.52
-1.802400e+00,0.52
-1.802000e+00,0.44
-1.801600e+00,0.52
-1.801200e+00,0.44
-1.800800e+00,0.4
-1.800400e+00,0.32
-1.800000e+00,0.32
-1.799600e+00,0.28
-1.799200e+00,0.2
-1.798800e+00,0.24
-1.798400e+00,0.28
-1.798000e+00,0.24
-1.797600e+00,0.24
-1.797200e+00,0.4
-1.796800e+00,0.36
-1.796400e+00,0.32
-1.796000e+00,0.24
-1.795600e+00,0.32
-1.795200e+00,0.32
-1.794800e+00,0.24
-1.794400e+00,0.28
-1.794000e+00,0.24
-1.793600e+00,0.28
-1.793200e+00,0.28
-1.792800e+00,0.24
-1.792400e+00,0.2
-1.792000e+00,0.36
-1.791600e+00,0.24
-1.791200e+00,0.16
-1.790800e+00,0.28
-1.790400e+00,0.2
-1.790000e+00,0.24
-1.789600e+00,0.24
-1.789200e+00,0.84
-1.788800e+00,0.68
-1.788400e+00,0.48
-1.788000e+00,0.24
-1.787600e+00,0.32
-1.787200e+00,0.36
-1.786800e+00,0.32
-1.786400e+00,0.36
-1.786000e+00,0.28
-1.785600e+00,0.28
-1.785200e+00,0.24
-1.784800e+00,0.2
-1.784400e+00,0.16
-1.784000e+00,0.24
-1.783600e+00,0.08
-1.783200e+00,0.04
-1.782800e+00,0
-1.782400e+00,0.04
-1.782000e+00,0.04
-1.781600e+00,0.04
-1.781200e+00,0.04
-1.780800e+00,0.04
-1.780400e+00,0.24
-1.780000e+00,-0.04
-1.779600e+00,0.16
-1.779200e+00,0.08
-1.778800e+00,0.12
-1.778400e+00,0.04
-1.778000e+00,0.08
