Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.0002,,
Horizontal Delay,0,,
Sample Interval,2e-07,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,-0.02,0
,,,
,,,
,,,
Label,M2024,M2029,M2030
TIME,CH1,CH3,CH4
-1.000000e-03,-0.0185937,1.76016,3.23875
-9.998000e-04,-0.0185937,1.7625,3.23781
-9.996000e-04,-0.0192187,1.76063,3.23859
-9.994000e-04,-0.02,1.76141,3.23781
-9.992000e-04,-0.0204688,1.76016,3.23719
-9.990000e-04,-0.0185937,1.76156,3.23813
-9.988000e-04,-0.02,1.76078,3.23672
-9.986000e-04,-0.0195312,1.76234,3.23703
-9.984000e-04,-0.0203125,1.75984,3.23719
-9.982000e-04,-0.0192187,1.76125,3.2375
-9.980000e-04,-0.0203125,1.75797,3.23344
-9.978000e-04,-0.02,1.75922,3.23719
-9.976000e-04,-0.0195312,1.76156,3.24453
-9.974000e-04,-0.0184375,1.76281,3.23734
-9.972000e-04,-0.0195312,1.76172,3.23516
-9.970000e-04,-0.0198438,1.76,3.23719
-9.968000e-04,-0.0203125,1.75969,3.23656
-9.966000e-04,-0.0198438,1.76172,3.23859
-9.964000e-04,-0.0196875,1.75984,3.23609
-9.962000e-04,-0.0176563,1.76203,3.23516
-9.960000e-04,-0.0175,1.76281,3.23891
-9.958000e-04,-0.0201563,1.75969,3.23797
-9.956000e-04,-0.019375,1.76109,3.23797
-9.954000e-04,-0.0195312,1.76172,3.23813
-9.952000e-04,-0.02,1.75984,3.23781
-9.950000e-04,-0.0198438,1.75891,3.23672
-9.948000e-04,-0.0167188,1.76438,3.24109
-9.946000e-04,-0.02,1.76047,3.23531
-9.944000e-04,-0.02,1.76063,3.23516
-9.942000e-04,-0.0192187,1.76172,3.235
-9.940000e-04,-0.0196875,1.76219,3.23578
-9.938000e-04,-0.02,1.76156,3.23875
-9.936000e-04,-0.0190625,1.76078,3.23844
-9.934000e-04,-0.0184375,1.76203,3.23766
-9.932000e-04,-0.0195312,1.76047,3.23625
-9.930000e-04,-0.019375,1.76344,3.24078
-9.928000e-04,-0.0203125,1.76063,3.23797
-9.926000e-04,-0.0184375,1.7625,3.23719
-9.924000e-04,-0.02,1.76156,3.23609
-9.922000e-04,-0.0196875,1.76125,3.23625
-9.920000e-04,-0.02,1.75984,3.23828
-9.918000e-04,-0.0192187,1.76219,3.23781
-9.916000e-04,-0.0198438,1.76,3.23547
-9.914000e-04,-0.02,1.76094,3.23656
-9.912000e-04,-0.0195312,1.76156,3.24172
-9.910000e-04,-0.018125,1.7625,3.24031
-9.908000e-04,-0.0190625,1.76063,3.23563
-9.906000e-04,-0.0196875,1.76063,3.23625
-9.904000e-04,-0.0203125,1.75969,3.23594
-9.902000e-04,-0.0189062,1.76203,3.23797
-9.900000e-04,-0.0196875,1.76047,3.23531
-9.898000e-04,-0.0184375,1.76188,3.23578
-9.896000e-04,-0.0173438,1.76344,3.23609
-9.894000e-04,-0.02,1.76016,3.23937
